ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
202001,Marks,Shenzhen,male,1.66,77.0,100.0,84.0,71.0,91.0,60.0,70.0,60.0,80.0,,70
202002,Wayne,Shenzhen,female,1.59,77.0,78.0,89.0,59.0,93.0,100.0,60.0,50.0,90.0,,80
202003,Bonnie,Guangzhou,female,1.57,80.0,81.0,81.0,54.0,91.0,90.0,60.0,70.0,80.0,,80
202004,Grace,Guangzhou,male,1.68,82.0,62.0,81.0,61.0,89.0,90.0,70.0,80.0,50.0,,70
202005,Hayden,Shanghai,male,1.68,85.0,82.0,91.0,60.0,92.0,90.0,100.0,90.0,80.0,,90
202006,Chelsea,Guangzhou,female,1.63,79.0,74.0,82.0,74.0,89.0,100.0,100.0,80.0,90.0,,70
202007,Dylan,Shenzhen,female,1.54,83.0,76.0,85.0,75.0,93.0,70.0,70.0,100.0,90.0,,70
202008,Yolanda,Shanghai,male,1.74,82.0,69.0,80.0,67.0,90.0,90.0,70.0,100.0,80.0,,70
202010,Benson,Guangzhou,female,1.61,77.0,91.0,84.0,65.0,91.0,50.0,90.0,70.0,50.0,,
202011,Franklin,Guangzhou,male,1.61,83.0,79.0,75.0,78.0,92.0,70.0,60.0,70.0,70.0,,80
202012,Phyllis,Shenzhen,female,1.61,80.0,79.0,91.0,59.0,93.0,100.0,90.0,80.0,90.0,,70
202013,Donald,Beijing,male,1.63,82.0,73.0,83.0,70.0,89.0,100.0,60.0,100.0,40.0,,70
202014,Joy,Guangzhou,female,1.61,80.0,91.0,85.0,65.0,89.0,100.0,60.0,80.0,50.0,,80
202015,Josephine,Shanghai,male,1.75,77.0,70.0,86.0,86.0,89.0,100.0,90.0,80.0,70.0,,90
202016,Rebecca,Guangzhou,female,1.6,81.0,79.0,85.0,59.0,86.0,100.0,100.0,80.0,80.0,,70
202017,Dolores,Shanghai,male,1.68,82.0,86.0,86.0,75.0,87.0,90.0,50.0,100.0,90.0,,70
202018,Sierra,Shanghai,male,1.61,77.0,93.0,79.0,79.0,89.0,50.0,80.0,100.0,100.0,,80
202019,Stanley,Guangzhou,female,1.63,83.0,83.0,89.0,70.0,89.0,80.0,60.0,60.0,60.0,,60
202020,Hank,Beijing,male,1.77,75.0,60.0,87.0,66.0,88.0,90.0,60.0,100.0,50.0,,70
202021,Adelaide,Beijing,female,1.47,83.0,82.0,87.0,71.0,89.0,50.0,100.0,100.0,70.0,,80
202022,Megan,Shenzhen,female,1.6,76.0,78.0,87.0,68.0,86.0,70.0,100.0,100.0,60.0,,70
202023,Duke,Shanghai,male,1.67,75.0,66.0,86.0,71.0,90.0,60.0,60.0,100.0,80.0,,60
202024,Teresa,Shenzhen,male,1.63,79.0,59.0,83.0,69.0,93.0,70.0,100.0,90.0,60.0,,70
202025,Victoria,Shenzhen,female,1.53,81.0,84.0,91.0,63.0,91.0,90.0,80.0,90.0,80.0,,70
202026,Donna,Shenzhen,male,1.66,74.0,84.0,85.0,69.0,91.0,50.0,60.0,100.0,50.0,,80
202027,Angelina,Beijing,male,1.64,79.0,54.0,86.0,70.0,89.0,50.0,80.0,100.0,90.0,,80
202028,Jeffery,Shanghai,male,1.71,81.0,81.0,88.0,65.0,89.0,60.0,80.0,60.0,40.0,,80
202029,June,Shenzhen,male,1.66,81.0,67.0,87.0,75.0,92.0,70.0,80.0,80.0,70.0,,70
202030,Mary,Shenzhen,female,1.54,90.0,91.0,90.0,77.0,91.0,100.0,70.0,70.0,60.0,,70
202031,Editha,Guangzhou,female,1.6,86.0,88.0,83.0,72.0,92.0,80.0,100.0,70.0,50.0,,80
202032,Howard,Shenzhen,female,1.61,80.0,79.0,79.0,,90.0,90.0,100.0,100.0,50.0,,80
202033,Pamela,Shanghai,male,1.67,84.0,74.0,84.0,66.0,93.0,100.0,50.0,70.0,60.0,,70
202034,Selina,Shanghai,female,1.61,81.0,91.0,81.0,68.0,91.0,90.0,90.0,90.0,90.0,,80
202035,Alicia,Shenzhen,male,1.63,77.0,65.0,79.0,73.0,91.0,100.0,80.0,60.0,50.0,,
202036,Mickey,Guangzhou,female,1.52,83.0,83.0,86.0,55.0,91.0,70.0,90.0,100.0,70.0,,70
202037,Christian,Guangzhou,female,1.69,74.0,75.0,86.0,60.0,91.0,70.0,80.0,60.0,100.0,,90
202038,Leopold,Beijing,male,1.7,85.0,82.0,90.0,62.0,91.0,90.0,80.0,80.0,60.0,,80
202039,Claudia,Shanghai,female,1.65,77.0,79.0,84.0,85.0,89.0,90.0,70.0,100.0,70.0,,70
202040,Manda,Beijing,female,1.63,78.0,81.0,91.0,58.0,88.0,80.0,100.0,70.0,80.0,,70
202041,Tiffany,Beijing,female,1.55,83.0,83.0,91.0,77.0,89.0,100.0,80.0,100.0,60.0,,70
202042,Angelia,Shanghai,male,1.74,82.0,89.0,86.0,55.0,89.0,70.0,70.0,60.0,80.0,,90
202043,Nikita,Shanghai,female,1.61,80.0,80.0,82.0,71.0,91.0,60.0,80.0,50.0,70.0,,90
202044,Wanda,Shenzhen,male,1.59,81.0,64.0,82.0,67.0,92.0,90.0,70.0,90.0,80.0,,80
202045,Cosmo,Beijing,female,1.62,85.0,73.0,90.0,73.0,91.0,80.0,70.0,80.0,100.0,,
202046,Isaac,Shanghai,female,1.55,83.0,76.0,87.0,80.0,85.0,80.0,60.0,70.0,40.0,,80
202047,Constance,Shanghai,male,1.67,77.0,76.0,89.0,63.0,90.0,100.0,60.0,60.0,60.0,,90
202048,Leslie ,Beijing,female,1.57,81.0,78.0,85.0,79.0,91.0,100.0,60.0,100.0,80.0,,70
202049,Lucy,Beijing,male,1.68,80.0,94.0,82.0,63.0,90.0,60.0,60.0,100.0,70.0,,60
202050,Zelda,Shanghai,female,1.6,84.0,76.0,83.0,66.0,90.0,100.0,70.0,100.0,60.0,,80
202051,Ethan,Beijing,male,1.65,78.0,86.0,88.0,65.0,93.0,50.0,100.0,80.0,60.0,,70
202052,Sally,Guangzhou,male,1.77,81.0,93.0,83.0,69.0,88.0,90.0,80.0,60.0,80.0,,80
202053,Joliet,Guangzhou,female,1.55,80.0,79.0,88.0,60.0,87.0,60.0,80.0,80.0,70.0,,70
202054,John,Shenzhen,male,1.66,81.0,68.0,84.0,60.0,87.0,50.0,60.0,90.0,40.0,,
202056,Hugo,Guangzhou,male,1.65,80.0,73.0,89.0,76.0,91.0,60.0,100.0,90.0,60.0,,
202057,Amy,Beijing,female,1.64,84.0,79.0,89.0,56.0,90.0,80.0,100.0,90.0,90.0,,70
202058,Martha,Guangzhou,male,1.62,76.0,82.0,78.0,75.0,91.0,100.0,60.0,100.0,80.0,,80
202059,Nicholas,Guangzhou,male,1.63,80.0,74.0,86.0,74.0,89.0,80.0,80.0,100.0,80.0,,90
202060,Todd,Guangzhou,male,1.72,76.0,80.0,84.0,66.0,87.0,70.0,90.0,90.0,100.0,,80
202061,Marcy,Guangzhou,male,1.66,77.0,86.0,88.0,78.0,87.0,90.0,60.0,90.0,90.0,,70
202062,Winnie,Beijing,male,1.71,81.0,84.0,86.0,70.0,90.0,60.0,70.0,100.0,80.0,,70
202063,Adeline,Shenzhen,male,1.63,80.0,84.0,87.0,70.0,92.0,100.0,100.0,60.0,60.0,,
202064,Timothy,Beijing,male,1.69,83.0,87.0,86.0,77.0,94.0,90.0,60.0,100.0,70.0,,80
202065,Olivia,Shenzhen,female,1.69,81.0,70.0,88.0,71.0,89.0,70.0,90.0,100.0,80.0,,90
202066,Geoffrey,Shanghai,female,1.65,80.0,86.0,81.0,67.0,88.0,100.0,60.0,70.0,50.0,,60
202067,Maxine,Beijing,male,1.66,86.0,79.0,83.0,77.0,90.0,60.0,60.0,100.0,60.0,,80
202068,Lorraine,Shenzhen,male,1.62,85.0,80.0,73.0,69.0,89.0,100.0,50.0,100.0,70.0,,80
202069,Eva,Shenzhen,female,1.55,72.0,92.0,84.0,66.0,92.0,90.0,70.0,100.0,60.0,,70
202070,Tina,Beijing,male,1.73,74.0,91.0,80.0,78.0,85.0,90.0,70.0,90.0,100.0,,70
202071,Phoebe,Shanghai,male,1.7,78.0,85.0,91.0,68.0,87.0,90.0,60.0,80.0,90.0,,70
202072,Karida,Guangzhou,female,1.49,77.0,89.0,82.0,65.0,92.0,100.0,80.0,70.0,90.0,,70
202073,Juliana,Guangzhou,female,1.51,83.0,71.0,80.0,66.0,87.0,100.0,100.0,60.0,60.0,,80
202074,Charlotte,Beijing,female,1.6,75.0,78.0,81.0,69.0,92.0,90.0,50.0,100.0,50.0,,80
202075,Demi,Shenzhen,female,1.64,84.0,67.0,82.0,74.0,92.0,90.0,70.0,50.0,70.0,,70
202076,David,Guangzhou,male,1.65,79.0,84.0,86.0,72.0,93.0,100.0,80.0,90.0,80.0,,80
202077,Melissa,Shenzhen,female,1.59,77.0,87.0,85.0,70.0,91.0,50.0,100.0,90.0,90.0,,70
202078,Sheila,Beijing,female,1.61,79.0,68.0,82.0,83.0,92.0,100.0,60.0,60.0,100.0,,80
202079,Henry,Shenzhen,male,1.76,81.0,88.0,76.0,88.0,92.0,90.0,90.0,90.0,90.0,,70
202080,Ivy,Beijing,female,1.53,80.0,87.0,84.0,74.0,88.0,60.0,80.0,90.0,80.0,,80
202081,Deborah,Shenzhen,male,1.65,76.0,95.0,84.0,65.0,93.0,100.0,60.0,60.0,60.0,,80
202082,Caspar,Guangzhou,female,1.66,71.0,85.0,82.0,61.0,,80.0,100.0,60.0,70.0,,70
202083,Susan,Shenzhen,male,1.63,79.0,69.0,87.0,43.0,89.0,70.0,70.0,90.0,100.0,,70
202084,Ishara,Shenzhen,male,1.75,80.0,74.0,86.0,84.0,89.0,60.0,90.0,90.0,50.0,,70
202085,lindsay,Beijing,female,1.55,76.0,63.0,83.0,56.0,89.0,60.0,100.0,80.0,50.0,,70
202086,Noah,Guangzhou,female,1.59,82.0,90.0,88.0,73.0,87.0,80.0,90.0,100.0,50.0,,80
