ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
202001,Marks,Shenzhen,male,1.66,-0.69593,2.23804,-0.17959,0.21315,0.47266,-1.18424,-0.48462,-1.46881,0.44906,,70.0
202002,Wayne,Shenzhen,female,1.59,-0.69593,-0.14077,0.99551,-1.25444,1.41797,1.14038,-1.09616,-2.10691,1.02955,,80.0
202003,Bonnie,Guangzhou,female,1.57,0.09163,0.18361,-0.88465,-1.86594,0.47266,0.55923,-1.09616,-0.83072,0.44906,,80.0
202004,Grace,Guangzhou,male,1.68,0.61667,-1.87081,-0.88465,-1.00984,-0.47266,0.55923,-0.48462,-0.19263,-1.29242,,70.0
202005,Hayden,Shanghai,male,1.68,1.40424,0.29174,1.46555,-1.13214,0.94531,0.55923,1.35001,0.44546,0.44906,,90.0
202006,Chelsea,Guangzhou,female,1.63,-0.17089,-0.57328,-0.64963,0.58005,-0.47266,1.14038,1.35001,-0.19263,1.02955,,70.0
202007,Dylan,Shenzhen,female,1.54,0.8792,-0.35703,0.05543,0.70235,1.41797,-0.60309,-0.48462,1.08355,1.02955,,70.0
202008,Yolanda,Shanghai,male,1.74,0.61667,-1.11392,-1.11967,-0.27605,1.89063,0.55923,-0.48462,1.08355,0.44906,,70.0
202010,Benson,Guangzhou,female,1.61,-0.69593,1.26489,-0.17959,-0.52065,0.47266,-1.7654,0.73847,-0.83072,-1.29242,,
202011,Franklin,Guangzhou,male,1.61,0.8792,-0.03264,-2.29476,1.06925,0.94531,-0.60309,-1.09616,-0.83072,-0.13143,,80.0
202012,Phyllis,Shenzhen,female,1.61,0.09163,-0.03264,1.46555,-1.25444,1.41797,1.14038,0.73847,-0.19263,1.02955,,70.0
202013,Donald,Beijing,male,1.63,0.61667,-0.68141,-0.41461,0.09085,-0.47266,1.14038,-1.09616,1.08355,-1.87291,,70.0
202014,Joy,Guangzhou,female,1.61,0.09163,1.26489,0.05543,-0.52065,-0.47266,1.14038,-1.09616,-0.19263,-1.29242,,80.0
202015,Josephine,Shanghai,male,1.0,-0.69593,-1.00579,0.29045,2.04764,-0.47266,1.14038,0.73847,-0.19263,-0.13143,,
